abide abode abided
test-drive test-drove test-driven
test-fly test-flew test-flown
think thought thought
thrive throve thriven
throw threw thrown
tread trod trodden
troubleshoot troubleshot troubleshot
typewrite typewrote typewritten
unbear unbore unborn
unbend unbent unbent
unbind unbound unbound
unbuild unbuilt unbuilt
unclothe unclad unclad
underbuy underbought underbought
underfeed underfed underfed
undergo underwent undergone
underlay underlaid underlaid
underlet underlet underlet
underlie underlay underlain
underrun underran underrun
undersell undersold undersold
undershoot undershot undershot
underspend underspent underspent
understand understood understood
undertake undertook undertaken
undo undid undone
undraw undrew undrawn
unfreeze unfroze unfrozen
unhang unhung unhung
unhide unhid unhidden
unhold unheld unheld
unlade unladed unladen
unlay unlaid unlaid
unlearn unlearnt unlearnt
unmake unmade unmade
unreeve unreeved unrove
unsay unsaid unsaid
unsew unsewed unsewn
unsling unslung unslung
unspin unspun unspun
unstick unstuck unstuck
unstring unstrung unstrung
unswear unswore unsworn
unteach untaught untaught
unthink unthought unthought
unweave unwove unwoven
unwind unwound unwound
unwrite unwrote unwritten
uphold upheld upheld
vex vext vext
wake woke woken
waylay waylaid waylaid
wear wore worn
weave wove woven
weep wept wept
win won won
wind wound wound
withdraw withdrew withdrawn
withhold withheld withheld
withstand withstood withstood
wring wrung wrung
write wrote written
